"21:54 WIB lalin di simp Surpyadi terpantau lancar dr semua kaki simpang, patuhi rambu2 lalin #lalinSMG https://t.co/ZRmUoYDxtu
","traffic","['21', '54', 'wib', 'lalin', 'di', 'simpang', 'surpyadi', 'terpantau', 'lancar', 'dari', 'semua', 'kaki', 'simpang', 'patuhi', 'rambu2', 'lalin']"
"21:53 WIB lalin di simp Gayamsari terpantau relatif lancar dr semua arah #lalinSMG https://t.co/fELjLDyfgt
","traffic","['21', '53', 'wib', 'lalin', 'di', 'simpang', 'gayamsari', 'terpantau', 'relatif', 'lancar', 'dari', 'semua', 'arah']"
"21:15 WIB lalin di simp Lamper-Gajah terpantau lancar dr semua kaki simpang #lalinSMG https://t.co/KVbUnCGHtF
","traffic","['21', '15', 'wib', 'lalin', 'di', 'simpang', 'lamper', 'gajah', 'terpantau', 'lancar', 'dari', 'semua', 'kaki', 'simpang']"
"20:46 WIB lalin di simp Milo terpantau lancar dr semua arah, patuhi rambu2 lalin &amp; marka jalan #lalinSMG https://t.co/iMyhs5T4lF
","traffic","['20', '46', 'wib', 'lalin', 'di', 'simpang', 'milo', 'terpantau', 'lancar', 'dari', 'semua', 'arah', 'patuhi', 'rambu2', 'lalin', 'amp', 'marka', 'jalan']"
"20:22 WIB lalin di simp Bangkong dr arah barat terpantau ramai lancar, patuhi rambu2 lalin #lalinSMG https://t.co/XbBXaA8AEv
","traffic","['20', '22', 'wib', 'lalin', 'di', 'simpang', 'bangkong', 'dari', 'arah', 'barat', 'terpantau', 'ramai', 'lancar', 'patuhi', 'rambu2', 'lalin']"
"19:30 WIB lalin di simp Thamrin Pandanaran terpantau lancar, patuhi rambu2 lalin &amp; marka jalan #lalinSMG https://t.co/gFe3ooMRsk
","traffic","['19', '30', 'wib', 'lalin', 'di', 'simpang', 'thamrin', 'pandanaran', 'terpantau', 'lancar', 'patuhi', 'rambu2', 'lalin', 'amp', 'marka', 'jalan']"
"19:03 WIB lalin di simp Polda terpantau relatif lancar, patuhi rambu2 lalin &amp; marka jalan #lalinSMG https://t.co/oOWf5sfuYI
","traffic","['19', '03', 'wib', 'lalin', 'di', 'simpang', 'polda', 'terpantau', 'relatif', 'lancar', 'patuhi', 'rambu2', 'lalin', 'amp', 'marka', 'jalan']"
"18:15 WIB lalin di simp Sam Poo Kong terpantau relatif lancar dr semua arah, patuhi rambu2 lalin #lalinSMG https://t.co/AxMCe9nmJP
","traffic","['18', '15', 'wib', 'lalin', 'di', 'simpang', 'sam', 'poo', 'kong', 'terpantau', 'relatif', 'lancar', 'dari', 'semua', 'arah', 'patuhi', 'rambu2', 'lalin']"
"17:08 WIB lalin di simp Karangayu terpantau relatif lancar dr semua aarah, patuhi rambu2 lalin  #lalinSMG https://t.co/mSy5xYPm4r
","traffic","['17', '08', 'wib', 'lalin', 'di', 'simpang', 'karangayu', 'terpantau', 'relatif', 'lancar', 'dari', 'semua', 'aarah', 'patuhi', 'rambu2', 'lalin']"
"16:50 WIB lalin di Abdurrahman Saleh terpantau lancar dr semua arah #lalinSMG https://t.co/JCsD5Vm06a
","traffic","['16', '50', 'wib', 'lalin', 'di', 'abdurrahman', 'saleh', 'terpantau', 'lancar', 'dari', 'semua', 'arah']"
